Seq Project ID ,Seq Project Name ,Sample ID ,Plate,Sample_ID_fix,Sample_ID_dada2,Sample Name*,Sample Group Name (required for some products)*,Site,State,Ocean,Continent,Seagrass_Or_Not,Species,Description of Pathogenicity to any host*,Concentration (ng/ul),"Tube or Plate Label (If in a tube, label must be unique.  If in a plate, label must be the same for all samples in that plate.) 20 characters max",Plate location (well #) required if samples will be provided in a plate.  ,Sample Format*,Shipment and Storage Comments (Box #),Biosafety Material Category,Sample Isolation Method,Collection Year,Collection Month,Clone,Sample Isolated From,Latitude Value must be in decimal format with values between -90 and 90.,Longitude Value must be in decimal format with values between -180 and 180.,Notes
1191095,Seagrass microbiome iTags plate 1,178664,Plate_1,ZM1_L,Plate_1.ZM1_L,ZM1-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.6,503251_iTag_1,B1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178665,Plate_1,ZM2_L,Plate_1.ZM2_L,ZM2-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,3.05,503251_iTag_1,C1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178666,Plate_1,ZM3_L,Plate_1.ZM3_L,ZM3-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,2.78,503251_iTag_1,D1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178667,Plate_1,ZM4_L,Plate_1.ZM4_L,ZM4-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,3.06,503251_iTag_1,E1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178668,Plate_1,ZM5_L,Plate_1.ZM5_L,ZM5-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.95,503251_iTag_1,F1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178669,Plate_1,ZM6_L,Plate_1.ZM6_L,ZM6-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,1.37,503251_iTag_1,G1,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178670,Plate_1,ZM7_L,Plate_1.ZM7_L,ZM7-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,1.11,503251_iTag_1,A2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178671,Plate_1,ZM8_L,Plate_1.ZM8_L,ZM8-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,5.19,503251_iTag_1,B2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178672,Plate_1,ZM9_L,Plate_1.ZM9_L,ZM9-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.69,503251_iTag_1,C2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178673,Plate_1,ZM10_L,Plate_1.ZM10_L,ZM10-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.64,503251_iTag_1,D2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
